year,carrier,salida,llegada,dif
2013,WN,2022-05-23 21:00:00,2022-05-23 21:00:00,0
2013,B6,2022-05-23 23:00:00,2022-05-23 23:59:00,59
2013,B6,2022-05-23 23:00:00,2022-05-23 23:59:00,59
2013,B6,2022-05-23 22:00:00,2022-05-23 22:50:00,50
2013,B6,2022-05-23 21:00:00,2022-05-23 21:54:00,54
2013,EV,2022-05-23 21:00:00,2022-05-23 21:59:00,59
2013,B6,2022-05-23 22:00:00,2022-05-23 22:49:00,49
2013,B6,2022-05-23 22:00:00,2022-05-23 22:50:00,50
2013,US,2022-05-23 05:00:00,2022-05-23 05:00:00,0
2013,UA,2022-05-23 05:00:00,2022-05-23 05:25:00,25
2013,UA,2022-05-23 05:00:00,2022-05-23 05:30:00,30
2013,B6,2022-05-23 05:00:00,2022-05-23 05:40:00,40
2013,AA,2022-05-23 05:00:00,2022-05-23 05:40:00,40
2013,B6,2022-05-23 06:00:00,2022-05-23 06:00:00,0
2013,FL,2022-05-23 06:00:00,2022-05-23 06:00:00,0
2013,AA,2022-05-23 06:00:00,2022-05-23 06:00:00,0
2013,AA,2022-05-23 06:00:00,2022-05-23 06:00:00,0
2013,DL,2022-05-23 06:00:00,2022-05-23 06:00:00,0
2013,DL,2022-05-23 06:00:00,2022-05-23 06:00:00,0
2013,B6,2022-05-23 06:00:00,2022-05-23 06:00:00,0
2013,B6,2022-05-23 06:00:00,2022-05-23 06:00:00,0
2013,MQ,2022-05-23 06:00:00,2022-05-23 06:00:00,0
2013,EV,2022-05-23 06:00:00,2022-05-23 06:01:00,1
2013,UA,2022-05-23 06:00:00,2022-05-23 06:01:00,1
2013,EV,2022-05-23 06:00:00,2022-05-23 06:00:00,0
2013,US,2022-05-23 06:00:00,2022-05-23 06:00:00,0
2013,B6,2022-05-23 06:00:00,2022-05-23 06:00:00,0
2013,US,2022-05-23 06:00:00,2022-05-23 06:00:00,0
2013,UA,2022-05-23 06:00:00,2022-05-23 06:00:00,0
2013,AA,2022-05-23 06:00:00,2022-05-23 06:10:00,10
2013,WN,2022-05-23 06:00:00,2022-05-23 06:00:00,0
2013,B6,2022-05-23 06:00:00,2022-05-23 06:00:00,0
2013,MQ,2022-05-23 06:00:00,2022-05-23 06:05:00,5
2013,EV,2022-05-23 06:00:00,2022-05-23 06:07:00,7
2013,DL,2022-05-23 06:00:00,2022-05-23 06:10:00,10
2013,UA,2022-05-23 06:00:00,2022-05-23 06:08:00,8
2013,AA,2022-05-23 06:00:00,2022-05-23 06:10:00,10
2013,B6,2022-05-23 06:00:00,2022-05-23 06:10:00,10
2013,MQ,2022-05-23 06:00:00,2022-05-23 06:15:00,15
2013,B6,2022-05-23 06:00:00,2022-05-23 06:10:00,10
2013,WN,2022-05-23 06:00:00,2022-05-23 06:10:00,10
2013,UA,2022-05-23 06:00:00,2022-05-23 06:08:00,8
2013,DL,2022-05-23 06:00:00,2022-05-23 06:15:00,15
2013,9E,2022-05-23 06:00:00,2022-05-23 06:15:00,15
2013,US,2022-05-23 06:00:00,2022-05-23 06:30:00,30
2013,B6,2022-05-23 06:00:00,2022-05-23 06:25:00,25
2013,WN,2022-05-23 06:00:00,2022-05-23 06:25:00,25
2013,MQ,2022-05-23 06:00:00,2022-05-23 06:30:00,30
2013,AA,2022-05-23 06:00:00,2022-05-23 06:30:00,30
2013,B6,2022-05-23 06:00:00,2022-05-23 06:30:00,30
2013,B6,2022-05-23 06:00:00,2022-05-23 06:30:00,30
2013,DL,2022-05-23 06:00:00,2022-05-23 06:30:00,30
2013,EV,2022-05-23 06:00:00,2022-05-23 06:33:00,33
2013,AA,2022-05-23 06:00:00,2022-05-23 06:35:00,35
2013,MQ,2022-05-23 06:00:00,2022-05-23 06:30:00,30
2013,WN,2022-05-23 06:00:00,2022-05-23 06:30:00,30
2013,B6,2022-05-23 06:00:00,2022-05-23 06:31:00,31
2013,B6,2022-05-23 06:00:00,2022-05-23 06:35:00,35
2013,AA,2022-05-23 06:00:00,2022-05-23 06:30:00,30
2013,UA,2022-05-23 06:00:00,2022-05-23 06:39:00,39
2013,EV,2022-05-23 06:00:00,2022-05-23 06:40:00,40
2013,UA,2022-05-23 06:00:00,2022-05-23 06:35:00,35
2013,B6,2022-05-23 06:00:00,2022-05-23 06:45:00,45
2013,UA,2022-05-23 06:00:00,2022-05-23 06:36:00,36
2013,US,2022-05-23 06:00:00,2022-05-23 06:45:00,45
2013,EV,2022-05-23 06:00:00,2022-05-23 06:45:00,45
2013,EV,2022-05-23 06:00:00,2022-05-23 06:36:00,36
2013,UA,2022-05-23 06:00:00,2022-05-23 06:45:00,45
2013,UA,2022-05-23 06:00:00,2022-05-23 06:35:00,35
2013,DL,2022-05-23 06:00:00,2022-05-23 06:55:00,55
2013,AA,2022-05-23 07:00:00,2022-05-23 07:00:00,0
2013,UA,2022-05-23 06:00:00,2022-05-23 06:34:00,34
2013,B6,2022-05-23 06:00:00,2022-05-23 06:55:00,55
2013,DL,2022-05-23 07:00:00,2022-05-23 07:00:00,0
2013,DL,2022-05-23 07:00:00,2022-05-23 07:00:00,0
2013,DL,2022-05-23 07:00:00,2022-05-23 07:00:00,0
2013,UA,2022-05-23 07:00:00,2022-05-23 07:00:00,0
2013,UA,2022-05-23 06:00:00,2022-05-23 06:54:00,54
2013,DL,2022-05-23 07:00:00,2022-05-23 07:00:00,0
2013,B6,2022-05-23 07:00:00,2022-05-23 07:00:00,0
2013,DL,2022-05-23 06:00:00,2022-05-23 06:59:00,59
2013,AA,2022-05-23 07:00:00,2022-05-23 07:00:00,0
2013,B6,2022-05-23 07:00:00,2022-05-23 07:00:00,0
2013,VX,2022-05-23 07:00:00,2022-05-23 07:05:00,5
2013,DL,2022-05-23 07:00:00,2022-05-23 07:00:00,0
2013,UA,2022-05-23 06:00:00,2022-05-23 06:35:00,35
2013,EV,2022-05-23 06:00:00,2022-05-23 06:25:00,25
2013,AA,2022-05-23 06:00:00,2022-05-23 06:59:00,59
2013,UA,2022-05-23 06:00:00,2022-05-23 06:45:00,45
2013,B6,2022-05-23 07:00:00,2022-05-23 07:05:00,5
2013,UA,2022-05-23 07:00:00,2022-05-23 07:05:00,5
2013,WN,2022-05-23 07:00:00,2022-05-23 07:05:00,5
2013,UA,2022-05-23 07:00:00,2022-05-23 07:05:00,5
2013,UA,2022-05-23 07:00:00,2022-05-23 07:05:00,5
2013,UA,2022-05-23 07:00:00,2022-05-23 07:05:00,5
2013,MQ,2022-05-23 07:00:00,2022-05-23 07:10:00,10
2013,UA,2022-05-23 07:00:00,2022-05-23 07:00:00,0
2013,EV,2022-05-23 06:00:00,2022-05-23 06:34:00,34
2013,FL,2022-05-23 07:00:00,2022-05-23 07:20:00,20
2013,UA,2022-05-23 07:00:00,2022-05-23 07:15:00,15
2013,DL,2022-05-23 07:00:00,2022-05-23 07:20:00,20
2013,AA,2022-05-23 07:00:00,2022-05-23 07:15:00,15
2013,AS,2022-05-23 07:00:00,2022-05-23 07:25:00,25
2013,UA,2022-05-23 07:00:00,2022-05-23 07:20:00,20
2013,AA,2022-05-23 07:00:00,2022-05-23 07:30:00,30
2013,AA,2022-05-23 07:00:00,2022-05-23 07:30:00,30
2013,AA,2022-05-23 07:00:00,2022-05-23 07:15:00,15
2013,MQ,2022-05-23 07:00:00,2022-05-23 07:05:00,5
2013,DL,2022-05-23 07:00:00,2022-05-23 07:30:00,30
2013,B6,2022-05-23 07:00:00,2022-05-23 07:29:00,29
2013,UA,2022-05-23 07:00:00,2022-05-23 07:15:00,15
2013,B6,2022-05-23 07:00:00,2022-05-23 07:31:00,31
2013,VX,2022-05-23 07:00:00,2022-05-23 07:30:00,30
2013,EV,2022-05-23 06:00:00,2022-05-23 06:30:00,30
2013,B6,2022-05-23 07:00:00,2022-05-23 07:10:00,10
2013,UA,2022-05-23 07:00:00,2022-05-23 07:30:00,30
2013,DL,2022-05-23 07:00:00,2022-05-23 07:40:00,40
2013,B6,2022-05-23 07:00:00,2022-05-23 07:35:00,35
2013,AA,2022-05-23 07:00:00,2022-05-23 07:30:00,30
2013,UA,2022-05-23 07:00:00,2022-05-23 07:40:00,40
2013,AA,2022-05-23 07:00:00,2022-05-23 07:45:00,45
2013,UA,2022-05-23 07:00:00,2022-05-23 07:40:00,40
2013,AA,2022-05-23 07:00:00,2022-05-23 07:45:00,45
2013,EV,2022-05-23 07:00:00,2022-05-23 07:40:00,40
2013,UA,2022-05-23 07:00:00,2022-05-23 07:45:00,45
2013,DL,2022-05-23 07:00:00,2022-05-23 07:53:00,53
2013,AA,2022-05-23 07:00:00,2022-05-23 07:55:00,55
2013,B6,2022-05-23 07:00:00,2022-05-23 07:57:00,57
2013,B6,2022-05-23 08:00:00,2022-05-23 08:00:00,0
2013,B6,2022-05-23 07:00:00,2022-05-23 07:05:00,5
2013,WN,2022-05-23 07:00:00,2022-05-23 07:55:00,55
2013,DL,2022-05-23 07:00:00,2022-05-23 07:59:00,59
2013,UA,2022-05-23 07:00:00,2022-05-23 07:45:00,45
2013,US,2022-05-23 07:00:00,2022-05-23 07:59:00,59
2013,UA,2022-05-23 08:00:00,2022-05-23 08:00:00,0
2013,DL,2022-05-23 08:00:00,2022-05-23 08:00:00,0
2013,EV,2022-05-23 08:00:00,2022-05-23 08:03:00,3
2013,EV,2022-05-23 07:00:00,2022-05-23 07:59:00,59
2013,9E,2022-05-23 08:00:00,2022-05-23 08:05:00,5
2013,DL,2022-05-23 08:00:00,2022-05-23 08:10:00,10
2013,EV,2022-05-23 07:00:00,2022-05-23 07:59:00,59
2013,EV,2022-05-23 06:00:00,2022-05-23 06:30:00,30
2013,FL,2022-05-23 08:00:00,2022-05-23 08:10:00,10
2013,AA,2022-05-23 08:00:00,2022-05-23 08:10:00,10
2013,AA,2022-05-23 08:00:00,2022-05-23 08:10:00,10
2013,UA,2022-05-23 07:00:00,2022-05-23 07:59:00,59
2013,WN,2022-05-23 08:00:00,2022-05-23 08:00:00,0
2013,DL,2022-05-23 08:00:00,2022-05-23 08:15:00,15
2013,DL,2022-05-23 08:00:00,2022-05-23 08:10:00,10
2013,US,2022-05-23 08:00:00,2022-05-23 08:15:00,15
2013,9E,2022-05-23 08:00:00,2022-05-23 08:15:00,15
2013,B6,2022-05-23 08:00:00,2022-05-23 08:12:00,12
2013,DL,2022-05-23 08:00:00,2022-05-23 08:17:00,17
2013,DL,2022-05-23 08:00:00,2022-05-23 08:15:00,15
2013,MQ,2022-05-23 08:00:00,2022-05-23 08:15:00,15
2013,EV,2022-05-23 07:00:00,2022-05-23 07:59:00,59
2013,US,2022-05-23 06:00:00,2022-05-23 06:15:00,15
2013,EV,2022-05-23 07:00:00,2022-05-23 07:20:00,20
2013,EV,2022-05-23 07:00:00,2022-05-23 07:05:00,5
2013,9E,2022-05-23 08:00:00,2022-05-23 08:20:00,20
2013,B6,2022-05-23 08:00:00,2022-05-23 08:05:00,5
2013,EV,2022-05-23 06:00:00,2022-05-23 06:30:00,30
2013,EV,2022-05-23 08:00:00,2022-05-23 08:34:00,34
2013,EV,2022-05-23 08:00:00,2022-05-23 08:27:00,27
2013,9E,2022-05-23 08:00:00,2022-05-23 08:20:00,20
2013,MQ,2022-05-23 08:00:00,2022-05-23 08:20:00,20
2013,UA,2022-05-23 08:00:00,2022-05-23 08:30:00,30
2013,UA,2022-05-23 07:00:00,2022-05-23 07:59:00,59
2013,EV,2022-05-23 08:00:00,2022-05-23 08:03:00,3
2013,AA,2022-05-23 08:00:00,2022-05-23 08:30:00,30
2013,B6,2022-05-23 07:00:00,2022-05-23 07:47:00,47
2013,WN,2022-05-23 08:00:00,2022-05-23 08:30:00,30
2013,DL,2022-05-23 08:00:00,2022-05-23 08:30:00,30
